iteration,hv_mean,hv_std
0,10.764594,0.465270
1,10.786414,0.447122
2,10.795847,0.445786
3,10.753181,0.316084
4,10.769510,0.319095
5,10.740961,0.311370
6,10.737056,0.304014
7,10.753683,0.296258
8,10.753619,0.294908
9,10.747756,0.292449
10,10.733129,0.270010
11,10.738500,0.271236
12,10.737962,0.271784
13,10.734623,0.271695
14,10.739567,0.273762
15,10.740679,0.272950
16,10.741119,0.272954
17,10.741197,0.273330
18,10.744577,0.272488
19,10.755567,0.269405
20,10.756504,0.270386
21,10.757196,0.271523
22,10.750513,0.270390
23,10.751833,0.268713
24,10.754509,0.271245
25,10.757521,0.267478
26,10.754846,0.267767
27,10.755035,0.263996
28,10.752871,0.254800
29,10.754443,0.254511
30,10.753941,0.257032
31,10.748904,0.254216
32,10.750712,0.270409
33,10.748753,0.273649
34,10.748919,0.273538
35,10.750933,0.270872
36,10.750608,0.270966
37,10.750220,0.269471
38,10.750721,0.268981
39,10.749484,0.272519
40,10.748976,0.271629
41,10.750213,0.271135
42,10.754515,0.267887
43,10.755503,0.266399
44,10.755970,0.266075
45,10.756846,0.266519
46,10.754148,0.265082
47,10.759568,0.265707
48,10.761126,0.265583
49,10.777933,0.248407
50,10.779309,0.248888
51,10.777857,0.250807
52,10.772675,0.246503
53,10.779093,0.241627
54,10.781091,0.242647
55,10.791571,0.232918
56,10.788428,0.237571
57,10.793215,0.241802
58,10.794325,0.243088
59,10.796209,0.242519
60,10.796266,0.242470
61,10.786788,0.252472
62,10.794051,0.250004
63,10.804911,0.253483
64,10.805875,0.252611
65,10.805493,0.252259
66,10.805633,0.252079
67,10.806015,0.251776
68,10.806388,0.251849
69,10.807048,0.252426
70,10.813015,0.254568
71,10.809281,0.250077
72,10.809309,0.250693
73,10.808719,0.252108
74,10.809387,0.251438
75,10.810809,0.251024
76,10.811574,0.251560
77,10.809577,0.245721
78,10.809771,0.245873
79,10.809753,0.245783
80,10.809932,0.245690
81,10.813351,0.240215
82,10.815711,0.239782
83,10.817346,0.240095
84,10.817510,0.241212
85,10.817757,0.241317
86,10.817918,0.241137
87,10.817149,0.242220
88,10.820461,0.242004
89,10.829092,0.234453
90,10.830028,0.232743
91,10.830049,0.232756
92,10.830157,0.232811
93,10.830222,0.232818
94,10.830222,0.232818
95,10.830519,0.232733
96,10.831615,0.231169
97,10.832709,0.230764
98,10.832992,0.230427
99,10.834855,0.227689
100,10.830400,0.231753
101,10.830462,0.231737
102,10.831025,0.231414
103,10.831361,0.231003
104,10.831713,0.231093
105,10.832507,0.230250
106,10.833999,0.228634
107,10.834102,0.228605
108,10.833999,0.228835
109,10.836152,0.226538
110,10.836300,0.226460
111,10.839318,0.221005
112,10.839151,0.221003
113,10.839709,0.220767
114,10.840500,0.220761
115,10.840500,0.220761
116,10.840630,0.220886
117,10.848344,0.221175
118,10.848577,0.220996
119,10.837190,0.215124
120,10.838164,0.214522
121,10.839005,0.215199
122,10.839549,0.215525
123,10.839869,0.215674
124,10.839905,0.215688
125,10.843567,0.219923
126,10.843178,0.220442
127,10.843186,0.220447
128,10.843192,0.220449
129,10.838443,0.219460
130,10.838298,0.219486
131,10.838328,0.219467
132,10.838794,0.219432
133,10.839587,0.219983
134,10.839634,0.219966
135,10.839695,0.219930
136,10.839695,0.219930
137,10.839703,0.219935
138,10.840104,0.220321
139,10.840492,0.220142
140,10.840555,0.220269
141,10.841623,0.219614
142,10.841961,0.220052
143,10.842021,0.220072
144,10.842021,0.220072
145,10.838984,0.222857
146,10.839123,0.222978
147,10.842508,0.218796
148,10.843228,0.219536
149,10.845246,0.218104
150,10.844937,0.218654
151,10.844950,0.218656
152,10.845113,0.218570
153,10.845269,0.218702
154,10.847196,0.219487
155,10.847432,0.219484
156,10.847529,0.219379
157,10.847541,0.219375
158,10.847922,0.219600
159,10.847439,0.219809
160,10.846454,0.222783
161,10.840232,0.228114
162,10.840424,0.228070
163,10.840739,0.228096
164,10.840889,0.227851
165,10.840895,0.227849
166,10.841518,0.227890
167,10.841573,0.227857
168,10.841430,0.227871
169,10.841438,0.227867
170,10.841576,0.227957
171,10.841958,0.228115
172,10.842046,0.228052
173,10.842214,0.228264
174,10.842257,0.228255
175,10.842902,0.227751
176,10.842208,0.226169
177,10.842128,0.227578
178,10.842062,0.227768
179,10.842132,0.227856
180,10.842239,0.227926
181,10.842239,0.227926
182,10.842391,0.227945
183,10.842422,0.227888
184,10.843344,0.229624
185,10.846886,0.227565
186,10.848057,0.227187
187,10.848062,0.227182
188,10.848062,0.227182
189,10.848201,0.227029
190,10.849115,0.227882
191,10.849537,0.228307
192,10.849658,0.228262
193,10.849670,0.228257
194,10.851608,0.230499
195,10.851743,0.230573
196,10.851795,0.230639
197,10.859565,0.219725
198,10.859633,0.219639
199,10.858400,0.221270
200,10.891588,0.242148
201,10.892342,0.242563
202,10.892186,0.242487
203,10.892205,0.242535
204,10.891599,0.241988
205,10.892031,0.242220
206,10.896122,0.247483
207,10.896854,0.246576
208,10.896484,0.246150
209,10.896329,0.245019
210,10.897314,0.244719
211,10.898319,0.244516
212,10.898530,0.244427
213,10.895438,0.245741
214,10.895682,0.245994
215,10.894596,0.244082
216,10.892613,0.242707
217,10.892720,0.242684
218,10.892769,0.242715
219,10.890822,0.242961
220,10.893508,0.241577
221,10.893521,0.241580
222,10.893267,0.241549
223,10.897535,0.242043
224,10.897733,0.241991
225,10.897733,0.241991
226,10.895361,0.245115
