f1,f2,f3,type
7.185700,10.743560,16280,pareto
7.185815,12.000000,16180,pareto
7.185931,10.743560,16080,pareto
7.186161,12.000000,15880,pareto
7.186276,12.000000,15780,pareto
7.186391,12.000000,15680,pareto
7.186507,10.743560,15580,pareto
7.186622,12.000000,15480,pareto
7.186737,12.000000,15380,pareto
7.186852,12.000000,15280,pareto
7.186967,10.743560,15180,pareto
7.187198,12.000000,14980,pareto
7.187313,12.000000,14880,pareto
7.187428,12.000000,14780,pareto
7.187543,12.000000,14680,pareto
7.187659,12.000000,14580,pareto
7.187774,12.000000,14480,pareto
7.187889,12.000000,14380,pareto
7.188004,12.000000,14280,pareto
7.188119,12.000000,14180,pareto
7.188235,12.000000,14080,pareto
7.188350,12.000000,13980,pareto
7.188465,12.000000,13880,pareto
7.188580,12.000000,13780,pareto
7.188695,12.000000,13680,pareto
7.188810,12.000000,13580,pareto
7.188914,12.000000,13490,pareto
7.189041,12.000000,13380,pareto
7.189064,10.834951,14320,pareto
7.189156,12.000000,13280,pareto
7.189271,12.000000,13180,pareto
7.189375,12.000000,13090,pareto
7.189386,12.000000,13080,pareto
7.189502,11.230769,12980,pareto
7.189732,12.000000,12780,pareto
7.189847,12.000000,12680,pareto
7.189962,12.000000,12580,pareto
7.190078,12.000000,12480,pareto
7.190308,12.000000,12280,pareto
7.190400,11.764706,12440,pareto
7.190423,12.000000,12180,pareto
7.190538,12.000000,12080,pareto
7.190654,12.000000,11980,pareto
7.190769,12.000000,11880,pareto
7.190884,12.000000,11780,pareto
7.190999,10.743560,11680,pareto
7.191230,12.000000,11480,pareto
7.191345,12.000000,11380,pareto
7.191460,12.000000,11280,pareto
7.191575,12.000000,11180,pareto
7.191690,12.000000,11080,pareto
7.191806,12.000000,10980,pareto
7.191958,10.355582,16280,pareto
7.192036,12.000000,10780,pareto
7.192151,11.390048,10680,pareto
7.192370,12.000000,10490,pareto
7.192382,12.000000,10480,pareto
7.192497,12.000000,10380,pareto
7.192612,12.000000,10280,pareto
7.192727,12.000000,10180,pareto
7.192764,10.382904,15580,pareto
7.192822,10.355582,15830,pareto
7.192842,12.000000,10080,pareto
7.192879,10.377596,15480,pareto
7.192957,12.000000,9980,pareto
7.193130,11.259259,10130,pareto
7.193234,12.000000,9860,pareto
7.193303,12.000000,9680,pareto
7.193418,12.000000,9580,pareto
7.193649,12.000000,9380,pareto
7.193686,10.355582,14780,pareto
7.194195,12.000000,9093,pareto
7.194579,11.963778,10080,pareto
7.194628,12.000000,8830,pareto
7.194632,11.676453,9253,pareto
7.194801,11.428571,8380,pareto
7.194837,10.355582,13780,pareto
7.195031,12.000000,8180,pareto
7.195146,12.000000,8080,pareto
7.195183,10.355582,13480,pareto
7.195261,12.000000,7980,pareto
7.195377,11.708914,7880,pareto
7.195413,10.452381,13280,pareto
7.195492,12.000000,7780,pareto
7.195607,11.676453,7680,pareto
7.195722,12.000000,7580,pareto
7.195860,10.300937,16280,pareto
7.195883,12.000000,7440,pareto
7.196015,11.598604,8053,pareto
7.196183,12.000000,7180,pareto
7.196298,12.000000,7080,pareto
7.196420,10.367291,12593,pareto
7.196459,12.000000,7060,pareto
7.196734,12.000000,6889,pareto
7.196844,11.285714,8493,pareto
7.196874,12.000000,6580,pareto
7.196881,10.452381,12193,pareto
7.196989,12.000000,6480,pareto
7.197075,10.800000,6593,pareto
7.197104,12.000000,6380,pareto
7.197335,12.000000,6180,pareto
7.197450,12.000000,6080,pareto
7.197565,12.000000,5980,pareto
7.197680,12.000000,5880,pareto
7.197791,10.363388,13323,pareto
7.197909,10.743560,5682,pareto
7.198701,10.523810,11153,pareto
7.198885,10.375000,10573,pareto
7.199100,10.357533,10680,pareto
7.199300,10.369243,10093,pareto
7.199415,10.465116,9993,pareto
7.200429,10.465116,9653,pareto
7.200952,11.924122,5466,pareto
7.201152,11.909524,5380,pareto
7.202226,10.523810,7553,pareto
7.202242,10.452381,8866,pareto
7.202311,10.055035,15580,pareto
7.202699,11.291616,5253,pareto
7.202901,10.465116,6780,pareto
7.204053,9.870804,16160,pareto
7.204378,11.753396,4980,pareto
7.204381,10.375000,5682,pareto
7.205349,10.285714,9763,pareto
7.205695,10.285714,9713,pareto
7.206256,10.337471,8326,pareto
7.206481,11.713349,4866,pareto
7.207077,11.275707,5153,pareto
7.207417,9.737315,15780,pareto
7.207995,11.655035,4700,pareto
7.208690,11.654137,4653,pareto
7.209052,10.597424,5266,pareto
7.209131,11.625527,4616,pareto
7.210829,11.507494,4280,pareto
7.211333,9.949649,15280,pareto
7.212186,10.186807,4926,pareto
7.212643,11.056608,4853,pareto
7.213107,10.151678,4826,pareto
7.213133,11.472365,4180,pareto
7.213528,11.462881,4153,pareto
7.214291,9.598361,14280,pareto
7.215144,11.449102,4036,pareto
7.216135,9.528103,14080,pareto
7.216402,10.142311,4596,pareto
7.216886,10.131772,4566,pareto
7.217079,11.362061,3866,pareto
7.218208,11.337471,3796,pareto
7.218899,9.422717,13780,pareto
7.219627,9.257221,14380,pareto
7.219821,9.874797,13680,pareto
7.221131,11.146721,3253,pareto
7.221563,9.203357,14260,pareto
7.221664,9.804540,13480,pareto
7.222355,11.126698,3196,pareto
7.222369,9.197502,14210,pareto
7.222974,11.076464,4223,pareto
7.223167,10.808782,3343,pareto
7.225136,10.980562,2780,pareto
7.226078,9.013271,13680,pareto
7.226190,10.770679,3713,pareto
7.227121,10.951561,2653,pareto
7.227904,10.893794,2533,pareto
7.228705,8.957455,13560,pareto
7.228843,8.991023,13380,pareto
7.228997,10.674161,3100,pareto
7.230110,8.911788,13430,pareto
7.230340,9.264637,13330,pareto
7.230346,10.795433,2253,pareto
7.230456,9.905386,3296,pareto
7.231262,9.887822,3246,pareto
7.231314,10.774356,2193,pareto
7.232245,10.123380,2273,pareto
7.232508,10.832240,2180,pareto
7.232852,8.852069,13260,pareto
7.233819,9.771897,2916,pareto
7.233819,8.830601,12840,pareto
7.234720,10.636300,1800,pareto
7.235276,10.612763,1733,pareto
7.235294,8.745121,12680,pareto
7.236198,9.925461,1633,pareto
7.236538,8.994145,12560,pareto
7.237137,8.966042,12480,pareto
7.238058,8.556596,12380,pareto
7.238959,10.519984,1380,pareto
7.238980,9.694614,2596,pareto
7.239562,10.444145,1253,pareto
7.240717,9.658392,2596,pareto
7.242349,10.409016,1153,pareto
7.243334,8.412959,12010,pareto
7.244028,9.894301,880,pareto
7.244169,10.268501,753,pareto
7.245526,8.654450,11593,pareto
7.245832,9.028103,10910,pareto
7.246352,8.323575,11480,pareto
7.246411,9.643911,10833,pareto
7.246546,9.625293,10780,pareto
7.246675,8.239169,11460,pareto
7.246693,9.814310,1096,pareto
7.247306,10.157143,436,pareto
7.247951,9.579625,10650,pareto
7.249129,9.557455,1950,pareto
7.249213,8.513934,11193,pareto
7.249311,9.519906,10480,pareto
7.250021,10.050703,303,pareto
7.250232,9.484778,10380,pareto
7.250960,8.439110,10980,pareto
7.251400,9.613271,80,pareto
7.251522,9.435597,10240,pareto
